genetic;length;mass;exercise;smoking;alcohol;sugar;lifespan
79.0;181.0;76.0;1.0;2.0;5.0;3;74
84.0;181.0;62.0;1.0;4.0;8.0;4;74
81.0;175.0;64.0;1.0;12.0;9.0;1;73
79.0;185.0;77.0;1.0;7.0;8.0;4;69
81.0;209.0;80.0;1.0;8.0;9.0;2;73
82.0;184.0;67.0;3.0;20.0;4.0;4;79
82.0;190.0;72.0;2.0;9.0;9.0;3;75
81.0;193.0;60.0;2.0;14.0;8.0;1;83
82.0;208.0;76.0;2.0;5.0;8.0;2;91
78.0;178.0;72.0;1.0;12.0;5.0;2;68
80.0;193.0;71.0;2.0;16.0;1.0;2;77
79.0;166.0;80.0;0.0;22.0;3.0;2;56
76.0;189.0;86.0;2.0;21.0;1.0;1;75
80.0;192.0;100.0;3.0;6.0;2.0;2;91
83.0;172.0;64.0;2.0;21.0;3.0;2;76
80.0;175.0;80.0;1.0;16.0;9.0;3;57
78.0;179.0;72.0;3.0;5.0;5.0;2;92
78.0;155.0;61.0;1.0;9.0;1.0;2;73
81.0;200.0;95.0;2.0;21.0;4.0;3;67
81.0;213.0;65.0;3.0;22.0;6.0;1;86
79.0;169.0;67.0;1.0;14.0;9.0;2;60
78.0;175.0;76.0;3.0;8.0;7.0;3;86
80.0;187.0;70.0;2.0;12.0;3.0;3;84
81.0;172.0;79.0;2.0;10.0;2.0;3;80
80.0;181.0;72.0;3.0;7.0;6.0;1;93
81.0;208.0;85.0;2.0;12.0;5.0;1;89
78.0;198.0;87.0;2.0;19.0;9.0;1;75
80.0;192.0;92.0;2.0;11.0;8.0;2;74
82.0;202.0;61.0;3.0;0.0;3.0;1;110
82.0;191.0;79.0;1.0;19.0;8.0;3;63
82.0;185.0;79.0;2.0;9.0;6.0;2;84
78.0;172.0;72.0;1.0;12.0;10.0;2;69
82.0;189.0;99.0;3.0;21.0;0.0;4;79
80.0;185.0;82.0;3.0;9.0;5.0;1;91
82.0;196.0;81.0;1.0;21.0;2.0;2;70
81.0;178.0;75.0;1.0;0.0;7.0;2;84
84.0;183.0;80.0;1.0;6.0;9.0;3;78
80.0;192.0;79.0;1.0;14.0;8.0;3;70
78.0;171.0;85.0;2.0;22.0;2.0;3;65
83.0;166.0;83.0;3.0;2.0;7.0;3;91
79.0;175.0;70.0;1.0;15.0;1.0;2;77
80.0;186.0;70.0;2.0;0.0;10.0;2;88
78.0;192.0;90.0;2.0;14.0;2.0;2;73
78.0;177.0;78.0;2.0;5.0;6.0;3;75
81.0;174.0;94.0;4.0;18.0;9.0;2;85
79.0;163.0;73.0;1.0;6.0;9.0;3;60
80.0;176.0;79.0;1.0;8.0;0.0;2;81
82.0;184.0;93.0;1.0;14.0;9.0;3;63
81.0;196.0;83.0;1.0;3.0;3.0;2;84
77.0;193.0;88.0;2.0;8.0;6.0;2;78
82.0;178.0;83.0;1.0;0.0;6.0;3;79
80.0;197.0;71.0;2.0;0.0;2.0;3;90
80.0;167.0;86.0;1.0;16.0;4.0;3;63
81.0;185.0;78.0;2.0;13.0;4.0;3;84
79.0;191.0;81.0;2.0;13.0;7.0;1;81
81.0;178.0;75.0;1.0;0.0;0.0;1;91
81.0;169.0;74.0;3.0;1.0;9.0;1;97
83.0;173.0;80.0;0.0;15.0;5.0;1;65
79.0;192.0;93.0;3.0;17.0;7.0;2;80
80.0;174.0;70.0;2.0;1.0;9.0;2;86
77.0;160.0;85.0;1.0;10.0;6.0;3;63
80.0;191.0;62.0;2.0;14.0;8.0;3;76
79.0;208.0;88.0;0.0;19.0;10.0;3;52
77.0;179.0;67.0;2.0;3.0;9.0;2;84
81.0;181.0;76.0;2.0;7.0;5.0;3;83
80.0;191.0;65.0;1.0;5.0;7.0;3;75
77.0;176.0;83.0;3.0;6.0;8.0;3;83
80.0;174.0;67.0;2.0;0.0;7.0;1;92
82.0;200.0;110.0;2.0;8.0;9.0;1;80
77.0;172.0;83.0;1.0;3.0;8.0;2;67
81.0;184.0;80.0;2.0;15.0;9.0;3;76
82.0;202.0;96.0;1.0;22.0;3.0;3;62
81.0;187.0;80.0;2.0;21.0;0.0;4;72
81.0;184.0;84.0;2.0;0.0;5.0;1;88
78.0;176.0;73.0;3.0;0.0;8.0;3;89
79.0;197.0;88.0;3.0;9.0;8.0;3;82
81.0;196.0;62.0;1.0;12.0;7.0;2;78
82.0;177.0;70.0;1.0;21.0;6.0;1;67
82.0;186.0;85.0;1.0;5.0;9.0;3;69
